movie,sentence,score
더 퍼스트 슬램덩크,"너무 몰입해서 보다 보니 시간 가는 줄 몰랐는데 더 길었으면 해서 9점 드립니다, 일본 만화를 좋아하시는 분 그리고 농구를 좋아하시는 분들은 무조건 강추입니다, 왼손은 거들 뿐!",9
더 퍼스트 슬램덩크,그냥보기나해. . ..참고로  안보고는  뭐라고  글쓰지마. . .그리고  내용을  알고보지마. . .팬이라면  대충원작의내용은알테니. . .더는알고보려하지말고봐  잼나다,10
더 퍼스트 슬램덩크,원래 스포츠 만화 안좋아하는데 좋아하게 만드네 처음봤는데도 가슴이 웅장해진다  ㅠㅠ 대사가 아닌 눈 싸인만으로도 캐릭터가 무슨 생각을 하는지 다 알겠고 딱히 힘을 주지 않아도 장면 장면들이 임팩트 넘치는게 그냥 연출이 대단하단 생각밖에 안듦 아쉬운게 없었다 진심으로 뚫어 송태섭ㅠㅠ!!,10
더 퍼스트 슬램덩크,관객이 썩 들어차 있었음에도 관내가 쥐죽은듯이 조용해지던 최후반부 1분 가량의 그 순간은 정말이지 평생 안 잊혀질 것 같다. (TOHOシネマズ日本橋),10
더 퍼스트 슬램덩크,시간 가는지 모를정도로 재밌게 봤습니다.,10
더 퍼스트 슬램덩크,난 그닥... 일본영화는 너무 느려 ㅜ ㅜ 그래도 처음 스케치 연출이랑 마지막 버저비터 연출은 지렸음 그리고 왜 더퍼스트 인지 모르는 사람 많은것 같은데 포인트가드가 1번임. 송태섭 이야기라,4
더 퍼스트 슬램덩크,유치하고 지루하고 박진감이 전혀 없었다. ,4
더 퍼스트 슬램덩크,원작의 가치를 한차원 더 끌어올린 역작,10
더 퍼스트 슬램덩크,말해 뭐하겠어요 노래 모르고 간게 천운이었다,10
더 퍼스트 슬램덩크,이건 무조건 극장가서 봐야댐마지막 십분이 안잊혀진다내가 본 스포츠물중 최고였음,10
더 퍼스트 슬램덩크,영화 끝나고 나오자마자 또 보고싶은 영화,10
더 퍼스트 슬램덩크,푸른 청춘으로 그대로 남은 우리 북산과 산왕 아이들 ㅠㅠ 감동과 열정까지 마음이 뜨거워 지는 띵작입니다. 이노우에 작가님 제발 오래오래 사시고 슬램덩크 자주는 아니라도 이렇게 작품 내 주시길 ㅠㅠㅠㅠ,10
더 퍼스트 슬램덩크,완벽. 봐도 봐도 보고싶다 nn차 해야합니다,10
더 퍼스트 슬램덩크,진짜 벅차오르는 감동을 선사했습니다 저에게,10
더 퍼스트 슬램덩크,말이 필요없는 영화... first클라이막스 절정에서 음소거..정말 최고였습니다...오랜만에 전율 돋는 영화 만들어주셔서 감사합니다^^,10
더 퍼스트 슬램덩크,재밌다,10
더 퍼스트 슬램덩크,안보면 후회하는 영화. 실제농구경기를 보는 듯한 긴장감,9
더 퍼스트 슬램덩크,농구 1도 안좋아하고 과거 슬램덩크 만화도 그닥 몰랐는데 이건 대박이다.. 나 평점 안 남기는데 2016년 이후 두번째로남긴다..,10
더 퍼스트 슬램덩크,진짜진짜진짜진짜 므조건 보세요,10
더 퍼스트 슬램덩크,진짜진짜진짜진짜 므조건 보세요,10
더 퍼스트 슬램덩크,넘 재밌었어여 옛날 생각두나구여 잘만들었네여,10
더 퍼스트 슬램덩크,내가 점수를 좀 후하게 주는편이긴해도 어지간해서는 10점안주는데 이건 10점 밑으로는 못주겠음 이건 뭐 깔게 없음 근데 원작 마지막 내용인데 왜 퍼스트지? 원작이후 스토리도 만들생각인가,10
더 퍼스트 슬램덩크,대박이네요 진정.. 정말 추억돋는  ..ㅠㅠ너무 재미있게 봤어요..쵝오,10
더 퍼스트 슬램덩크,농구에 관심 1도 없었는데 어느새 내 인생이 농구로 채워짐...,10
더 퍼스트 슬램덩크,"와 진짜... 가슴이 웅장해 진다..,",10
더 퍼스트 슬램덩크,봐도봐도 재밌어요 큰 감동입니다,10
더 퍼스트 슬램덩크,오랫동안 기다렸던 크나큰 감동 서태웅 얼굴은 국보다,10
더 퍼스트 슬램덩크,4.5/5,9
더 퍼스트 슬램덩크,농구가 뭐라고 마음을 이렇게 힘들게 하냐...어휘력이 후달려서 그냥 개찢었다 라는 말로밖엔 표현이 안된다...꼭 보세요 제발....,10
더 퍼스트 슬램덩크,84년생이라 감동일까요 아이들도 감동이랍니다. 남녀노소 불문하고 재밌게 볼 수 있는 레전드 추억 여행,10
더 퍼스트 슬램덩크,무조건 보세요 진짜 미쳤습니다.마지막엔 숨이 안쉬어질 정도록 최고였어요.,10
더 퍼스트 슬램덩크,오랜만에 다시 보니 재밌습니다.,9
더 퍼스트 슬램덩크,슬램덩크 모르는데도 재밌게 보고 왔어요 연출 진짜 최고,10
